"","unique_id","title","authors","pub_year","journal","study_site","moisture_type_DELETE?","moisture_type_consistent","moisture_units","moisture_open","moisture_forest","measurement_depth_DELETE?","Depth_lowerRange","Depth_upperRange","Average_Depth","Depth_Units","mat_deg_c","map_mm","Lat_degrees","Lat_Minutes","Lat_Seconds","Direction...22","Lat_Coordinates","Long_degrees","Long_Minutes","Long_Seconds","Direction...27","Long_Coordinates","Date","Year","Month","Day","Season","Timing_notes","Soil _type","Soil_texture","soil_clay_%","soil_sand_%","soil_silt_%","Soil notes","forest_type","forest_type_standardized","forest_dbh","forest_dbh_units","forest_basal_area","forest_basal_area_units","canopy_height","canopy_height_units","canopy_cover","canopy_cover_units","canopy_estimate_method","LAI","LAI_units","stem_density","stem_density_units","stand_density","stand_density_units","canopy_gap","canopy_gap_units","forest_structure_notes","open_type","datapoint.num","rr"
"1",1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3005,0.2353,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,"2003",2003,NA,NA,NA,"May-October","Cambisol","loamy sand",NA,NA,NA,"moderately deep loamy sand dystric Cambisol","Spruce","Coniferous",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83,NA,NA,NA,NA,NA,NA,NA,NA,"grassland",1,-0.244586458241945
"2",1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3549,0.2448,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,"2004",2004,NA,NA,NA,"May-October","Cambisol","loamy sand",NA,NA,NA,"moderately deep loamy sand dystric Cambisol","Spruce","Coniferous",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83,NA,NA,NA,NA,NA,NA,NA,NA,"grassland",2,-0.37139450901428
"3",1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3708,0.3052,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,"2005",2005,NA,NA,NA,"May-October","Cambisol","loamy sand",NA,NA,NA,"moderately deep loamy sand dystric Cambisol","Spruce","Coniferous",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83,NA,NA,NA,NA,NA,NA,NA,NA,"grassland",3,-0.194695534281398
"4",1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3708,0.2888,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,"2006",2006,NA,NA,NA,"May-October","Cambisol","loamy sand",NA,NA,NA,"moderately deep loamy sand dystric Cambisol","Spruce","Coniferous",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83,NA,NA,NA,NA,NA,NA,NA,NA,"grassland",4,-0.249928426673029
"5",1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3644,0.2639,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,"2007",2007,NA,NA,NA,"May-October","Cambisol","loamy sand",NA,NA,NA,"moderately deep loamy sand dystric Cambisol","Spruce","Coniferous",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83,NA,NA,NA,NA,NA,NA,NA,NA,"grassland",5,-0.322681921876525
"6",1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3005,0.2136,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,"2003",2003,NA,NA,NA,"May-October","Cambisol","loamy sand",NA,NA,NA,"moderately deep loamy sand dystric Cambisol","Beech","deciduous",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.175,NA,NA,NA,NA,NA,NA,NA,"seasonally variable LAI ranging from 1.27-5.08 m2/m2. LAI was averaged for Beech forest. Grassland LAI was 2.45 m2/m2","grassland",6,-0.341342646889222
"7",1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3549,0.2245,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,"2004",2004,NA,NA,NA,"May-October","Cambisol","loamy sand",NA,NA,NA,"moderately deep loamy sand dystric Cambisol","Beech","deciduous",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.175,NA,NA,NA,NA,NA,NA,NA,"seasonally variable LAI ranging from 1.27-5.08 m2/m2. LAI was averaged for Beech forest. Grassland LAI was 2.45 m2/m2","grassland",7,-0.457960352470142
"8",1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3708,0.2956,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,"2005",2005,NA,NA,NA,"May-October","Cambisol","loamy sand",NA,NA,NA,"moderately deep loamy sand dystric Cambisol","Beech","deciduous",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.175,NA,NA,NA,NA,NA,NA,NA,"seasonally variable LAI ranging from 1.27-5.08 m2/m2. LAI was averaged for Beech forest. Grassland LAI was 2.45 m2/m2","grassland",8,-0.226655644617654
"9",1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3708,0.2765,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,"2006",2006,NA,NA,NA,"May-October","Cambisol","loamy sand",NA,NA,NA,"moderately deep loamy sand dystric Cambisol","Beech","deciduous",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.175,NA,NA,NA,NA,NA,NA,NA,"seasonally variable LAI ranging from 1.27-5.08 m2/m2. LAI was averaged for Beech forest. Grassland LAI was 2.45 m2/m2","grassland",9,-0.293452012729311
"10",1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3644,0.2734,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,"2007",2007,NA,NA,NA,"May-October","Cambisol","loamy sand",NA,NA,NA,"moderately deep loamy sand dystric Cambisol","Beech","deciduous",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.175,NA,NA,NA,NA,NA,NA,NA,"seasonally variable LAI ranging from 1.27-5.08 m2/m2. LAI was averaged for Beech forest. Grassland LAI was 2.45 m2/m2","grassland",10,-0.287316241095954
